,terminals,flute_wl,flute_nsps,flute_ct,geosteiner_wl,geosteiner_nsps,geosteiner_ct,cockayne_wl,cockayne_nsps,cockayne_ct
0,10,20418.0,8.0,0.000143,20418.0,7.0,0.000713,20418.0,8.0,0.033949
1,10,25688.0,8.0,1.1e-05,25540.0,8.0,0.000271,25540.0,8.0,0.027912
2,10,19703.0,8.0,7e-06,19703.0,8.0,0.000216,19703.0,8.0,0.032035
3,10,26659.0,8.0,9e-06,26659.0,8.0,0.000248,26659.0,8.0,0.035991
4,10,22817.0,8.0,1e-06,22817.0,8.0,0.000184,22817.0,8.0,0.021993
5,10,24285.0,8.0,6e-06,24285.0,8.0,9.8e-05,24285.0,8.0,0.025211
6,10,21260.0,8.0,7e-06,21260.0,8.0,0.000244,21260.0,8.0,0.019883
7,10,22287.0,8.0,7e-06,22287.0,7.0,0.000199,22287.0,8.0,0.036089
8,10,18225.0,8.0,5e-06,18225.0,8.0,0.000109,18225.0,8.0,0.023488
9,10,26028.0,8.0,6e-06,26028.0,8.0,0.000105,26028.0,8.0,0.026799
10,10,29119.0,8.0,6e-06,29119.0,8.0,0.000224,29119.0,8.0,0.022966
11,10,20281.0,8.0,2e-06,20281.0,8.0,0.000145,20281.0,8.0,0.021598
12,10,23933.0,8.0,6e-06,23933.0,8.0,0.00025,23933.0,8.0,0.029918
13,10,23439.0,8.0,6e-06,23439.0,8.0,0.00024,23439.0,8.0,0.033926
14,10,25883.0,8.0,5e-06,25883.0,8.0,0.000143,25883.0,8.0,0.023224
15,10,22815.0,8.0,9e-06,22815.0,8.0,0.000145,22815.0,8.0,0.020213
16,10,24992.0,8.0,7e-06,24992.0,8.0,0.000157,24992.0,8.0,0.027551
17,10,24538.0,8.0,6e-06,24538.0,8.0,0.000158,24538.0,8.0,0.027931
18,10,20347.0,8.0,6e-06,20347.0,8.0,0.000178,20347.0,8.0,0.029252
19,10,25248.0,8.0,5e-06,25248.0,8.0,0.000172,25248.0,8.0,0.03218
20,10,20945.0,8.0,6e-06,20945.0,8.0,0.000431,20945.0,8.0,0.031624
21,10,22635.0,8.0,2e-06,22635.0,7.0,9.7e-05,22635.0,7.0,0.023659
22,10,25140.0,8.0,6e-06,25140.0,8.0,0.000248,25140.0,8.0,0.03635
23,10,22992.0,8.0,6e-06,22992.0,8.0,0.000165,22992.0,8.0,0.035198
24,10,23155.0,8.0,2.8e-05,23155.0,8.0,0.000374,23155.0,8.0,0.043191
25,10,20832.0,8.0,7e-06,20832.0,8.0,0.000197,20832.0,8.0,0.027256
26,10,24761.0,8.0,7e-06,24761.0,8.0,0.000363,24761.0,8.0,0.0368
27,10,25049.0,8.0,6e-06,25049.0,8.0,0.000169,25049.0,8.0,0.019734
28,10,23547.0,8.0,8e-06,23547.0,8.0,0.000196,23547.0,8.0,0.037503
29,10,16495.0,8.0,6e-06,16495.0,8.0,0.000221,16495.0,8.0,0.03817
30,10,20149.0,8.0,7e-06,20149.0,8.0,0.000249,20149.0,8.0,0.034951
31,10,23186.0,8.0,6e-06,23186.0,8.0,0.000357,23186.0,8.0,0.035234
32,10,21296.0,8.0,6e-06,21296.0,8.0,0.000191,21296.0,8.0,0.046011
33,10,25219.0,8.0,7e-06,25219.0,8.0,0.000223,25219.0,8.0,0.038995
34,10,22942.0,8.0,6e-06,22765.0,8.0,0.000188,22765.0,8.0,0.025344
35,10,26610.0,8.0,5e-06,26610.0,7.0,0.000142,26610.0,8.0,0.033247
36,10,23429.0,8.0,6e-06,23429.0,8.0,0.000173,23429.0,8.0,0.024011
37,10,23479.0,8.0,5e-06,23319.0,8.0,0.000158,23319.0,8.0,0.035162
38,10,21409.0,8.0,2e-06,21409.0,8.0,0.000188,21409.0,8.0,0.030165
39,10,26952.0,8.0,1e-05,26952.0,8.0,0.000174,26952.0,8.0,0.025721
40,10,23160.0,8.0,6e-06,23160.0,8.0,0.00015,23160.0,8.0,0.031659
41,10,20082.0,8.0,5e-06,20082.0,8.0,0.000166,20082.0,8.0,0.024745
42,10,21273.0,8.0,8e-06,21273.0,8.0,0.000107,21273.0,8.0,0.038408
43,10,20408.0,8.0,7e-06,20408.0,8.0,0.000129,20408.0,8.0,0.034019
44,10,23594.0,8.0,6e-06,23594.0,8.0,0.000142,23594.0,8.0,0.02831
45,10,23427.0,8.0,6e-06,23427.0,8.0,0.000118,23427.0,8.0,0.025941
46,10,25271.0,8.0,5e-06,25271.0,8.0,0.00015,25271.0,8.0,0.019106
47,10,23482.0,8.0,6e-06,23482.0,8.0,0.0002,23482.0,8.0,0.02951
48,10,21546.0,8.0,8e-06,21546.0,8.0,0.000243,21546.0,8.0,0.042293
49,10,24201.0,8.0,6e-06,24201.0,8.0,0.000125,24201.0,8.0,0.025467
50,10,21991.0,8.0,5e-06,21991.0,8.0,0.000238,21991.0,8.0,0.026306
51,10,17878.0,8.0,6e-06,17878.0,8.0,0.000221,17878.0,8.0,0.020574
52,10,14861.0,8.0,6e-06,14861.0,8.0,0.00021,14861.0,8.0,0.0331
53,10,15129.0,8.0,2e-06,15129.0,8.0,0.000176,15129.0,8.0,0.016805
54,10,23492.0,8.0,2e-06,23492.0,8.0,0.000171,23492.0,8.0,0.022854
55,10,27615.0,8.0,5e-06,27615.0,8.0,0.000191,27615.0,8.0,0.031766
56,10,27414.0,8.0,6e-06,27414.0,8.0,0.000141,27414.0,8.0,0.026255
57,10,23609.0,8.0,6e-06,23609.0,8.0,0.000259,23609.0,8.0,0.037247
58,10,23606.0,8.0,6e-06,23606.0,8.0,0.000121,23606.0,8.0,0.029884
59,10,21360.0,8.0,6e-06,21360.0,8.0,0.000179,21360.0,8.0,0.030611
60,10,24983.0,8.0,3e-06,24983.0,7.0,0.000139,24983.0,7.0,0.022346
61,10,24720.0,8.0,6e-06,24720.0,8.0,0.000323,24720.0,8.0,0.034396
62,10,23459.0,8.0,6e-06,23459.0,8.0,0.000164,23459.0,8.0,0.026522
63,10,21737.0,8.0,6e-06,21737.0,8.0,0.000158,21737.0,8.0,0.027553
64,10,21639.0,8.0,6e-06,21508.0,8.0,0.000119,21508.0,8.0,0.029366
65,10,24817.0,8.0,6e-06,24817.0,8.0,0.000231,24817.0,8.0,0.029284
66,10,24878.0,8.0,5e-06,24878.0,8.0,0.000184,24878.0,8.0,0.025172
67,10,23797.0,8.0,5e-06,23797.0,8.0,0.00017,23797.0,8.0,0.03898
68,10,20344.0,8.0,4e-06,20344.0,8.0,0.00018,20344.0,8.0,0.02989
69,10,22202.0,8.0,5e-06,22202.0,8.0,0.000322,22202.0,8.0,0.025649
70,10,24290.0,8.0,5e-06,24290.0,8.0,0.000235,24290.0,8.0,0.028666
71,10,26881.0,8.0,5e-06,26881.0,7.0,0.000159,26881.0,8.0,0.033423
72,10,22429.0,8.0,6e-06,22429.0,8.0,0.00013,22429.0,8.0,0.039552
73,10,27428.0,8.0,6e-06,27428.0,8.0,0.000182,27428.0,8.0,0.027452
74,10,27028.0,8.0,5e-06,27028.0,7.0,0.000165,27028.0,8.0,0.032445
75,10,24149.0,8.0,5e-06,24149.0,8.0,0.000181,24149.0,8.0,0.031422
76,10,26241.0,8.0,2e-06,26241.0,8.0,0.000395,26241.0,8.0,0.022793
77,10,21014.0,8.0,5e-06,21014.0,8.0,0.000137,21014.0,8.0,0.031955
78,10,19836.0,8.0,4e-06,19836.0,8.0,0.000115,19836.0,8.0,0.01954
79,10,17622.0,8.0,7e-06,17622.0,8.0,0.000182,17622.0,8.0,0.02382
80,10,25117.0,8.0,5e-06,25117.0,8.0,0.000127,25117.0,8.0,0.030041
81,10,22454.0,8.0,4e-06,22454.0,8.0,0.000144,22454.0,8.0,0.025672
82,10,24278.0,8.0,5e-06,24278.0,8.0,0.000122,24278.0,8.0,0.021564
83,10,24923.0,8.0,6e-06,24923.0,8.0,0.000264,24923.0,8.0,0.027995
84,10,24934.0,8.0,5e-06,24934.0,8.0,0.000119,24934.0,8.0,0.037453
85,10,25907.0,8.0,5e-06,25907.0,8.0,0.000138,25907.0,8.0,0.028201
86,10,23346.0,8.0,4e-06,23346.0,8.0,0.000205,23346.0,8.0,0.025695
87,10,23366.0,8.0,5e-06,23366.0,8.0,0.000289,23366.0,8.0,0.034279
88,10,28099.0,8.0,6e-06,28099.0,8.0,0.000127,28099.0,8.0,0.026485
89,10,23220.0,8.0,5e-06,23220.0,8.0,0.000187,23220.0,8.0,0.023692
90,10,21183.0,8.0,5e-06,21183.0,8.0,0.000145,21183.0,8.0,0.034473
91,10,23934.0,8.0,5e-06,23934.0,8.0,0.000147,23934.0,8.0,0.030597
92,10,18076.0,8.0,5e-06,18076.0,8.0,0.00033,18076.0,8.0,0.024126
93,10,20536.0,8.0,5e-06,20536.0,8.0,0.000122,20536.0,8.0,0.026172
94,10,21760.0,8.0,4e-06,21760.0,8.0,0.000115,21760.0,8.0,0.023637
95,10,26354.0,8.0,5e-06,26354.0,8.0,0.00024,26354.0,9.0,0.036389
96,10,23999.0,8.0,5e-06,23999.0,8.0,0.000163,23999.0,8.0,0.026292
97,10,23587.0,8.0,6e-06,23587.0,8.0,0.000276,23587.0,8.0,0.028267
98,10,25441.0,8.0,5e-06,25441.0,8.0,0.000222,25441.0,8.0,0.024336
99,10,26707.0,8.0,4e-06,26707.0,8.0,0.00016,26707.0,8.0,0.027687
100,10,19474.0,8.0,4e-06,19474.0,8.0,0.00011,19474.0,8.0,0.030291
