,Algorithm,Num_Terminals,Wirelength,Num Steiner Points,CPU Time
0,flute,55.0,54232.0,53.0,0.002378
1,flute,102.0,78165.0,100.0,0.007662
2,flute,41.0,46542.0,39.0,0.001448
3,flute,24.0,34412.0,22.0,0.000493
4,flute,69.0,61642.0,67.0,0.001749
5,flute,102.0,74034.0,100.0,0.008413
6,flute,81.0,69075.0,79.0,0.003243
7,flute,31.0,47968.0,29.0,0.000506
8,flute,93.0,69959.0,91.0,0.00397
9,flute,77.0,67260.0,75.0,0.002675
10,flute,100.0,71242.0,98.0,0.002963
11,flute,83.0,66586.0,81.0,0.001849
12,flute,120.0,80121.0,118.0,0.005569
13,flute,7.0,20987.0,5.0,2e-06
14,flute,68.0,64797.0,66.0,0.002955
15,flute,53.0,57248.0,51.0,0.000985
16,flute,77.0,60408.0,75.0,0.002948
17,flute,60.0,60343.0,58.0,0.002254
18,flute,83.0,69196.0,81.0,0.005381
19,flute,73.0,65896.0,71.0,0.00611
20,flute,36.0,46017.0,34.0,0.001043
21,flute,33.0,41192.0,31.0,0.000541
22,flute,103.0,78707.0,101.0,0.006139
23,flute,22.0,33839.0,20.0,0.000299
24,flute,115.0,78374.0,113.0,0.004832
25,flute,22.0,36123.0,20.0,0.001391
26,flute,32.0,40998.0,30.0,0.000844
27,flute,120.0,81882.0,118.0,0.004358
28,flute,61.0,57884.0,59.0,0.001369
29,flute,14.0,26549.0,12.0,4.6e-05
30,flute,10.0,21813.0,8.0,5e-06
31,flute,104.0,72394.0,102.0,0.00391
32,flute,35.0,41241.0,33.0,0.000617
33,flute,73.0,65798.0,71.0,0.002018
34,flute,98.0,77853.0,96.0,0.00803
35,flute,88.0,68339.0,86.0,0.003615
36,flute,71.0,59783.0,69.0,0.001935
37,flute,93.0,71764.0,91.0,0.002949
38,flute,18.0,34447.0,16.0,0.000216
39,flute,71.0,62415.0,69.0,0.002315
40,flute,39.0,50497.0,37.0,0.001299
41,flute,34.0,47633.0,32.0,0.00078
42,flute,66.0,60459.0,64.0,0.001156
43,flute,10.0,20726.0,8.0,2e-06
44,flute,7.0,19373.0,5.0,1e-06
45,flute,33.0,44043.0,31.0,0.000703
46,flute,18.0,31164.0,16.0,0.000276
47,flute,69.0,60019.0,67.0,0.003792
48,flute,46.0,48281.0,44.0,0.001524
49,flute,52.0,59642.0,50.0,0.002945
50,flute,45.0,51870.0,43.0,0.002667
51,flute,117.0,79011.0,115.0,0.005309
52,flute,114.0,80766.0,112.0,0.006461
53,flute,12.0,31024.0,10.0,2.4e-05
54,flute,21.0,35395.0,19.0,0.000579
55,flute,59.0,55646.0,57.0,0.000929
56,flute,33.0,39094.0,31.0,0.000948
57,flute,67.0,60635.0,65.0,0.003018
58,flute,39.0,45333.0,37.0,0.000999
59,flute,33.0,46988.0,31.0,0.001464
60,flute,53.0,57875.0,51.0,0.002241
61,flute,30.0,40821.0,28.0,0.00059
62,flute,98.0,74656.0,96.0,0.00477
63,flute,76.0,64701.0,74.0,0.002686
64,flute,107.0,74772.0,105.0,0.005111
65,flute,8.0,27429.0,6.0,1e-06
66,flute,101.0,72789.0,99.0,0.004514
67,flute,106.0,80062.0,104.0,0.004642
68,flute,85.0,70602.0,83.0,0.008006
69,flute,15.0,28906.0,13.0,8.5e-05
70,flute,71.0,65265.0,69.0,0.003245
71,flute,8.0,20542.0,6.0,2.3e-05
72,flute,117.0,85427.0,115.0,0.008623
73,flute,107.0,79782.0,105.0,0.004489
74,flute,94.0,73876.0,92.0,0.005305
75,flute,79.0,65721.0,77.0,0.003636
76,flute,97.0,72234.0,95.0,0.004499
77,flute,23.0,37236.0,21.0,0.000389
78,flute,119.0,86395.0,117.0,0.005272
79,flute,115.0,82489.0,113.0,0.006668
80,flute,115.0,79353.0,113.0,0.004206
81,flute,27.0,39808.0,25.0,0.000562
82,flute,46.0,51445.0,44.0,0.001108
83,flute,42.0,46309.0,40.0,0.000746
84,flute,73.0,66854.0,71.0,0.004854
85,flute,76.0,62335.0,74.0,0.003513
